technique,technique_label,threshold,TP,FP,FN,IGNORED,GT,detections,precision,recall,sensitivity,F1,F2,fp_per_image
nms,NMS,0.9999998951737755,0,0,250,0,250,0,1.0,0.0,0.0,0.0,0.0,0.0
nms,NMS,0.9999998941737755,1,0,249,0,250,1,1.0,0.004,0.004,0.00796812749003984,0.004995004995004996,0.0
nms,NMS,0.9999979106176803,5,0,245,0,250,5,1.0,0.02,0.02,0.0392156862745098,0.02487562189054727,0.0
nms,NMS,0.9997325971131339,9,0,241,0,250,9,1.0,0.036,0.036,0.06949806949806948,0.0445986124876115,0.0
nms,NMS,0.9939008999952484,13,0,237,0,250,13,1.0,0.052,0.052,0.0988593155893536,0.06416584402764068,0.0
nms,NMS,0.9922250302021927,16,0,234,0,250,16,1.0,0.064,0.064,0.12030075187969924,0.07874015748031496,0.0
nms,NMS,0.9907860548798334,20,0,230,0,250,20,1.0,0.08,0.08,0.14814814814814814,0.09803921568627451,0.0
nms,NMS,0.9894400310871506,23,1,227,0,250,24,0.9583333333333334,0.092,0.092,0.16788321167883213,0.1123046875,0.004149377593360996
nms,NMS,0.9883910690247305,27,1,223,0,250,28,0.9642857142857143,0.108,0.108,0.19424460431654678,0.13132295719844356,0.004149377593360996
nms,NMS,0.9866137746505284,30,1,220,0,250,31,0.967741935483871,0.12,0.12,0.21352313167259784,0.1454898157129001,0.004149377593360996
nms,NMS,0.9847028111753524,34,1,216,0,250,35,0.9714285714285714,0.136,0.136,0.23859649122807017,0.1642512077294686,0.004149377593360996
nms,NMS,0.9831529876928985,37,2,213,0,250,39,0.9487179487179487,0.148,0.148,0.2560553633217993,0.178055822906641,0.008298755186721992
nms,NMS,0.9817652968438633,41,2,209,0,250,43,0.9534883720930233,0.164,0.164,0.27986348122866894,0.1965484180249281,0.008298755186721992
nms,NMS,0.980946783942409,43,4,207,0,250,47,0.9148936170212766,0.172,0.172,0.2895622895622895,0.2053486150907354,0.016597510373443983
nms,NMS,0.9783514467933456,44,6,206,1,250,51,0.88,0.176,0.176,0.2933333333333333,0.2095238095238095,0.024896265560165973
nms,NMS,0.9765353129721641,46,8,204,1,250,55,0.8518518518518519,0.184,0.184,0.3026315789473684,0.21821631878557876,0.03319502074688797
nms,NMS,0.9747376288619113,48,10,202,1,250,59,0.8275862068965517,0.192,0.192,0.3116883116883117,0.22684310018903592,0.04149377593360996
nms,NMS,0.9704293348155898,51,11,199,1,250,63,0.8225806451612904,0.204,0.204,0.32692307692307687,0.24011299435028244,0.04564315352697095
nms,NMS,0.9682972455219554,54,12,196,1,250,67,0.8181818181818182,0.216,0.216,0.34177215189873417,0.25328330206378985,0.04979253112033195
nms,NMS,0.9666266367809753,57,13,193,1,250,71,0.8142857142857143,0.228,0.228,0.35625,0.26635514018691586,0.05394190871369295
nms,NMS,0.9651331355549434,60,14,190,1,250,75,0.8108108108108109,0.24,0.24,0.3703703703703704,0.2793296089385475,0.058091286307053944
nms,NMS,0.9629095902898336,64,14,186,1,250,79,0.8205128205128205,0.256,0.256,0.3902439024390244,0.29684601113172543,0.058091286307053944
nms,NMS,0.9595459398259107,66,15,184,1,250,82,0.8148148148148148,0.264,0.264,0.39879154078549855,0.30527289546716,0.06224066390041494
nms,NMS,0.9567893623330749,68,16,182,1,250,85,0.8095238095238095,0.272,0.272,0.407185628742515,0.3136531365313653,0.06639004149377593
nms,NMS,0.9532962659881051,72,16,178,1,250,89,0.8181818181818182,0.288,0.288,0.4260355029585799,0.3308823529411764,0.06639004149377593
nms,NMS,0.9496421719961755,76,17,174,1,250,94,0.8172043010752689,0.304,0.304,0.44314868804664725,0.34766697163769444,0.07053941908713693
nms,NMS,0.9433534323468452,79,18,171,1,250,98,0.8144329896907216,0.316,0.316,0.45533141210374645,0.3600729261622607,0.07468879668049792
nms,NMS,0.9399230278836559,81,19,169,1,250,101,0.81,0.324,0.324,0.4628571428571428,0.3681818181818182,0.07883817427385892
nms,NMS,0.9371430689537565,83,21,167,1,250,105,0.7980769230769231,0.332,0.332,0.46892655367231634,0.37590579710144933,0.08713692946058091
nms,NMS,0.9329648659370164,84,24,166,1,250,109,0.7777777777777778,0.336,0.336,0.46927374301675984,0.37906137184115524,0.0995850622406639
nms,NMS,0.9286529841400237,87,23,163,3,250,113,0.7909090909090909,0.348,0.348,0.4833333333333333,0.3918918918918919,0.0954356846473029
nms,NMS,0.9258988426189428,88,25,162,3,250,116,0.7787610619469026,0.352,0.352,0.4848484848484848,0.39532794249775377,0.1037344398340249
nms,NMS,0.9216134151293855,90,27,160,3,250,120,0.7692307692307693,0.36,0.36,0.4904632152588556,0.4028648164726947,0.11203319502074689
nms,NMS,0.9204641442942859,94,27,156,3,250,124,0.7768595041322314,0.376,0.376,0.5067385444743936,0.41926851025869766,0.11203319502074689
nms,NMS,0.9126092315472565,98,27,152,3,250,128,0.784,0.392,0.392,0.5226666666666667,0.43555555555555553,0.11203319502074689
nms,NMS,0.9061190793998745,100,29,150,3,250,132,0.7751937984496124,0.4,0.4,0.5277044854881268,0.4428697962798937,0.12033195020746888
nms,NMS,0.899144568909693,102,30,148,4,250,136,0.7727272727272727,0.408,0.408,0.5340314136125655,0.450530035335689,0.12448132780082988
nms,NMS,0.8966325720885487,104,30,146,5,250,139,0.7761194029850746,0.416,0.416,0.5416666666666666,0.4585537918871252,0.12448132780082988
nms,NMS,0.8930031790699182,107,31,143,5,250,143,0.7753623188405797,0.428,0.428,0.5515463917525772,0.47012302284710017,0.12863070539419086
nms,NMS,0.8879958586084016,108,34,142,5,250,147,0.7605633802816901,0.432,0.432,0.5510204081632653,0.47285464098073554,0.14107883817427386
nms,NMS,0.8811430680326077,111,35,139,5,250,151,0.7602739726027398,0.444,0.444,0.5606060606060607,0.4842931937172775,0.14522821576763487
nms,NMS,0.8737288081391686,111,39,139,5,250,155,0.74,0.444,0.444,0.555,0.48260869565217396,0.16182572614107885
nms,NMS,0.8660081760109669,113,41,137,5,250,159,0.7337662337662337,0.452,0.452,0.5594059405940593,0.4896013864818024,0.17012448132780084
nms,NMS,0.8579042635272474,115,42,135,6,250,163,0.732484076433121,0.46,0.46,0.5651105651105651,0.4969749351771824,0.17427385892116182
nms,NMS,0.853285477486579,116,44,134,7,250,167,0.725,0.464,0.464,0.5658536585365854,0.5000000000000001,0.1825726141078838
nms,NMS,0.8473727633795022,119,45,131,7,250,171,0.725609756097561,0.476,0.476,0.5748792270531401,0.511168384879725,0.18672199170124482
nms,NMS,0.8437104444033487,122,45,128,7,250,174,0.7305389221556886,0.488,0.488,0.5851318944844125,0.5227077977720652,0.18672199170124482
nms,NMS,0.8400256918203662,122,48,128,7,250,177,0.7176470588235294,0.488,0.488,0.5809523809523809,0.5213675213675214,0.1991701244813278
nms,NMS,0.839141215747981,125,48,125,9,250,182,0.7225433526011561,0.5,0.5,0.5910165484633569,0.5328218243819267,0.1991701244813278
nms,NMS,0.8351894186766543,126,50,124,10,250,186,0.7159090909090909,0.504,0.504,0.5915492957746479,0.5357142857142857,0.2074688796680498
nms,NMS,0.8287570264541899,127,53,123,10,250,190,0.7055555555555556,0.508,0.508,0.5906976744186047,0.538135593220339,0.21991701244813278
nms,NMS,0.826921191649099,129,55,121,10,250,194,0.7010869565217391,0.516,0.516,0.5944700460829493,0.5447635135135136,0.22821576763485477
nms,NMS,0.8227713325325323,131,55,119,10,250,196,0.7043010752688172,0.524,0.524,0.6009174311926606,0.5522765598650927,0.22821576763485477
nms,NMS,0.8192760789858681,134,56,116,10,250,200,0.7052631578947368,0.536,0.536,0.6090909090909091,0.5630252100840336,0.23236514522821577
nms,NMS,0.8155480365167042,136,58,114,10,250,204,0.7010309278350515,0.544,0.544,0.6126126126126127,0.5695142378559465,0.24066390041493776
nms,NMS,0.8091664856414992,138,59,112,10,250,207,0.700507614213198,0.552,0.552,0.6174496644295302,0.5764411027568923,0.24481327800829875
nms,NMS,0.8056425611515687,141,59,109,11,250,211,0.705,0.564,0.564,0.6266666666666666,0.5874999999999999,0.24481327800829875
nms,NMS,0.7980304868600427,143,61,107,11,250,215,0.7009803921568627,0.572,0.572,0.6299559471365639,0.5938538205980065,0.25311203319502074
nms,NMS,0.7941408211113974,146,62,104,11,250,219,0.7019230769230769,0.584,0.584,0.6375545851528385,0.6043046357615893,0.2572614107883817
nms,NMS,0.7865646111807372,147,65,103,11,250,223,0.6933962264150944,0.588,0.588,0.6363636363636364,0.6064356435643564,0.2697095435684647
nms,NMS,0.7794617760964772,149,67,101,11,250,227,0.6898148148148148,0.596,0.596,0.6394849785407725,0.6126644736842105,0.27800829875518673
nms,NMS,0.7725819722338753,150,70,100,11,250,231,0.6818181818181818,0.6,0.6,0.6382978723404256,0.6147540983606556,0.29045643153526973
nms,NMS,0.761160882814579,153,71,97,11,250,235,0.6830357142857143,0.612,0.612,0.6455696202531646,0.625,0.2946058091286307
nms,NMS,0.7555262286359958,153,75,97,11,250,239,0.6710526315789473,0.612,0.612,0.6401673640167364,0.6229641693811074,0.3112033195020747
nms,NMS,0.7452273755480318,155,77,95,11,250,243,0.6681034482758621,0.62,0.62,0.6431535269709543,0.6290584415584416,0.31950207468879666
nms,NMS,0.733225071182923,155,81,95,11,250,247,0.6567796610169492,0.62,0.62,0.6378600823045267,0.6270226537216829,0.3360995850622407
nms,NMS,0.7231227750714945,157,82,93,11,250,250,0.6569037656903766,0.628,0.628,0.6421267893660532,0.6335754640839386,0.34024896265560167
nms,NMS,0.7141977190125951,157,85,93,11,250,253,0.6487603305785123,0.628,0.628,0.6382113821138211,0.6320450885668276,0.35269709543568467
nms,NMS,0.7104976290944734,159,87,91,11,250,257,0.6463414634146342,0.636,0.636,0.6411290322580645,0.6380417335473516,0.36099585062240663
nms,NMS,0.7039743848487567,161,88,89,12,250,261,0.6465863453815262,0.644,0.644,0.6452905811623246,0.644515612489992,0.3651452282157676
nms,NMS,0.69784558399383,161,92,89,12,250,265,0.6363636363636364,0.644,0.644,0.6401590457256461,0.6424581005586592,0.3817427385892116
nms,NMS,0.6895887398485777,162,96,88,12,250,270,0.627906976744186,0.648,0.648,0.6377952755905513,0.643879173290938,0.3983402489626556
nms,NMS,0.6820703373946015,164,98,86,12,250,274,0.6259541984732825,0.656,0.656,0.640625,0.6497622820919176,0.4066390041493776
nms,NMS,0.6800660800785825,165,101,85,12,250,278,0.6203007518796992,0.66,0.66,0.6395348837209303,0.6516587677725119,0.4190871369294606
nms,NMS,0.6766689266948024,167,103,83,12,250,282,0.6185185185185185,0.668,0.668,0.6423076923076924,0.65748031496063,0.42738589211618255
nms,NMS,0.6700471253805034,169,103,81,12,250,284,0.6213235294117647,0.676,0.676,0.6475095785440613,0.6643081761006289,0.42738589211618255
nms,NMS,0.6655820292946266,171,105,79,12,250,288,0.6195652173913043,0.684,0.684,0.6501901140684411,0.670062695924765,0.43568464730290457
nms,NMS,0.663161188877147,173,107,77,12,250,292,0.6178571428571429,0.692,0.692,0.6528301886792452,0.6757812499999999,0.44398340248962653
nms,NMS,0.6596104122210085,173,109,77,14,250,296,0.6134751773049646,0.692,0.692,0.650375939849624,0.6747269890795632,0.45228215767634855
nms,NMS,0.6529051445246438,174,112,76,14,250,300,0.6083916083916084,0.696,0.696,0.6492537313432836,0.67651632970451,0.46473029045643155
nms,NMS,0.6473830882728304,175,115,75,14,250,304,0.603448275862069,0.7,0.7,0.6481481481481481,0.6782945736434107,0.47717842323651455
nms,NMS,0.6460887093795132,176,117,74,14,250,307,0.6006825938566553,0.704,0.704,0.6482504604051565,0.6805877803557617,0.4854771784232365
nms,NMS,0.6428386986871178,178,119,72,14,250,311,0.5993265993265994,0.712,0.712,0.6508226691042048,0.6861989205859675,0.49377593360995853
nms,NMS,0.6355946724238701,178,122,72,14,250,314,0.5933333333333334,0.712,0.712,0.6472727272727272,0.6846153846153845,0.5062240663900415
nms,NMS,0.6196119595596087,178,124,72,14,250,316,0.5894039735099338,0.712,0.712,0.6449275362318841,0.6835637480798771,0.5145228215767634
nms,NMS,0.6127282534714399,178,128,72,14,250,320,0.5816993464052288,0.712,0.712,0.6402877697841727,0.6814701378254211,0.5311203319502075
nms,NMS,0.6083408293767677,180,130,70,14,250,324,0.5806451612903226,0.72,0.72,0.6428571428571428,0.6870229007633587,0.5394190871369294
nms,NMS,0.6043541253565248,181,133,69,14,250,328,0.5764331210191083,0.724,0.724,0.6418439716312057,0.6887366818873668,0.5518672199170125
nms,NMS,0.5966733421062005,183,135,67,14,250,332,0.5754716981132075,0.732,0.732,0.6443661971830985,0.6942336874051593,0.5601659751037344
nms,NMS,0.5948341304530789,184,137,66,14,250,335,0.573208722741433,0.736,0.736,0.6444833625218914,0.6964420893262678,0.5684647302904564
nms,NMS,0.5901998020089742,184,141,66,14,250,339,0.5661538461538461,0.736,0.736,0.6399999999999999,0.6943396226415093,0.5850622406639004
nms,NMS,0.5869456005099934,184,145,66,14,250,343,0.5592705167173252,0.736,0.736,0.6355785837651121,0.692249811888638,0.6016597510373444
nms,NMS,0.5844910432834836,187,145,63,15,250,347,0.5632530120481928,0.748,0.748,0.6426116838487972,0.7019519519519519,0.6016597510373444
nms,NMS,0.5764259654994155,189,147,61,15,250,351,0.5625,0.756,0.756,0.6450511945392492,0.7073353293413174,0.6099585062240664
nms,NMS,0.5727604472213469,191,148,59,16,250,355,0.5634218289085545,0.764,0.764,0.6485568760611206,0.7132188200149366,0.6141078838174274
nms,NMS,0.5679647266440911,192,151,58,16,250,359,0.5597667638483965,0.768,0.768,0.6475548060708263,0.7148175725986597,0.6265560165975104
nms,NMS,0.563197722432384,192,155,58,16,250,363,0.553314121037464,0.768,0.768,0.6432160804020101,0.7126948775055678,0.6431535269709544
nms,NMS,0.5580067338299143,192,158,58,16,250,366,0.5485714285714286,0.768,0.768,0.6399999999999999,0.711111111111111,0.6556016597510373
nms,NMS,0.5525415827619296,193,159,57,17,250,369,0.5482954545454546,0.772,0.772,0.6411960132890366,0.7137573964497042,0.6597510373443983
nms,NMS,0.5484926613946167,195,161,55,17,250,373,0.547752808988764,0.78,0.78,0.6435643564356436,0.7190265486725663,0.6680497925311203
nms,NMS,0.54386062242958,196,164,54,17,250,377,0.5444444444444444,0.784,0.784,0.642622950819672,0.7205882352941176,0.6804979253112033
nms,NMS,0.5370072895113279,196,168,54,17,250,381,0.5384615384615384,0.784,0.784,0.6384364820846905,0.7184750733137829,0.6970954356846473
nms,NMS,0.52914531319521,198,169,52,18,250,385,0.5395095367847411,0.792,0.792,0.6418152350081037,0.7242136064374542,0.7012448132780082
nms,NMS,0.5234950316307818,199,171,51,18,250,388,0.5378378378378378,0.796,0.796,0.6419354838709678,0.7262773722627738,0.7095435684647303
nms,NMS,0.5148152324497791,200,174,50,18,250,392,0.5347593582887701,0.8,0.8,0.641025641025641,0.727802037845706,0.7219917012448133
nms,NMS,0.5101514960490121,201,177,49,18,250,396,0.5317460317460317,0.804,0.804,0.6401273885350318,0.7293178519593615,0.7344398340248963
nms,NMS,0.5065601318644338,201,181,49,18,250,400,0.5261780104712042,0.804,0.804,0.6360759493670887,0.7272069464544139,0.7510373443983402
nms,NMS,0.5,201,186,49,18,250,405,0.5193798449612403,0.804,0.804,0.631083202511774,0.7245854361932228,0.7717842323651453
nms,NMS,0.4948934739338714,201,188,49,18,250,407,0.5167095115681234,0.804,0.804,0.6291079812206574,0.7235421166306696,0.7800829875518672
nms,NMS,0.48884703971886234,202,191,48,18,250,411,0.5139949109414759,0.808,0.808,0.6283048211508554,0.7250538406317303,0.7925311203319502
nms,NMS,0.48144519087969,203,194,47,18,250,415,0.5113350125944585,0.812,0.812,0.6275115919629057,0.7265569076592698,0.8049792531120332
nms,NMS,0.4767195869990048,203,197,47,19,250,419,0.5075,0.812,0.812,0.6246153846153846,0.7250000000000001,0.8174273858921162
nms,NMS,0.4705791410577989,206,198,44,19,250,423,0.5099009900990099,0.824,0.824,0.6299694189602447,0.7336182336182336,0.8215767634854771
nms,NMS,0.4656814751912094,208,199,42,20,250,427,0.5110565110565111,0.832,0.832,0.6331811263318112,0.7391613361762616,0.8257261410788381
nms,NMS,0.4587399897750556,209,202,41,20,250,431,0.5085158150851582,0.836,0.836,0.6323751891074131,0.7406094968107726,0.8381742738589212
nms,NMS,0.4537546538387952,209,206,41,20,250,435,0.5036144578313253,0.836,0.836,0.6285714285714284,0.7385159010600708,0.8547717842323651
nms,NMS,0.45010836224964174,210,209,40,20,250,439,0.5011933174224343,0.84,0.84,0.6278026905829597,0.7399577167019028,0.8672199170124482
nms,NMS,0.44575894294132445,210,213,40,20,250,443,0.49645390070921985,0.84,0.84,0.6240713224368499,0.7378777231201685,0.8838174273858921
nms,NMS,0.4433539684322153,210,217,40,20,250,447,0.4918032786885246,0.84,0.84,0.620384047267356,0.7358093903293623,0.9004149377593361
nms,NMS,0.4426476495228448,211,220,39,20,250,451,0.4895591647331787,0.844,0.844,0.6196769456681351,0.737246680642907,0.9128630705394191
nms,NMS,0.4394989126188441,212,222,38,21,250,455,0.48847926267281105,0.848,0.848,0.6198830409356725,0.7391910739191073,0.921161825726141
nms,NMS,0.43707454522059985,213,224,37,21,250,458,0.4874141876430206,0.852,0.852,0.6200873362445415,0.7411273486430063,0.9294605809128631
nms,NMS,0.42942519763431286,215,226,35,21,250,462,0.4875283446712018,0.86,0.86,0.622286541244573,0.7460097154753642,0.9377593360995851
nms,NMS,0.4274378610994463,216,229,34,21,250,466,0.4853932584269663,0.864,0.864,0.6215827338129496,0.7474048442906576,0.950207468879668
nms,NMS,0.4246575867656552,216,232,34,22,250,470,0.48214285714285715,0.864,0.864,0.6189111747851004,0.7458563535911601,0.9626556016597511
nms,NMS,0.4208731061737741,216,236,34,22,250,474,0.4778761061946903,0.864,0.864,0.6153846153846154,0.743801652892562,0.979253112033195
nms,NMS,0.417777409545071,216,240,34,22,250,478,0.47368421052631576,0.864,0.864,0.6118980169971671,0.7417582417582417,0.995850622406639
nms,NMS,0.4114701054910424,216,243,34,23,250,482,0.47058823529411764,0.864,0.864,0.6093088857545839,0.740233036326251,1.008298755186722
nms,NMS,0.40887142786878594,216,247,34,23,250,486,0.46652267818574517,0.864,0.864,0.6058906030855541,0.7382091592617908,1.0248962655601659
